,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
0,"[6, 10]","[8, 1]",0.0,9.0,-6.0
1,"[19, 15]","[8, 12]",0.0,11.0,-8.0
2,"[9, 10]","[10, 4]",0.0,6.0,-10.0
3,"[24, 18]","[24, 11]",0.0,7.0,3.0
4,"[28, 1]","[21, 20]",0.0,19.0,6.0
5,"[3, 19]","[2, 25]",0.0,6.0,-18.0
6,"[10, 24]","[3, 25]",0.0,7.0,0.0
7,"[16, 13]","[15, 27]",0.0,14.0,2.0
8,"[8, 1]","[1, 19]",0.0,18.0,-9.0
9,"[9, 28]","[20, 29]",0.0,11.0,-12.0
10,"[15, 22]","[4, 11]",0.0,11.0,-3.0
11,"[11, 21]","[26, 10]",0.0,15.0,-13.0
12,"[15, 0]","[10, 29]",0.0,29.0,-14.0
13,"[23, 9]","[26, 6]",0.0,3.0,-10.0
14,"[24, 9]","[23, 5]",0.0,4.0,3.0
15,"[27, 2]","[15, 16]",0.0,14.0,-16.0
16,"[9, 18]","[13, 27]",0.0,9.0,1.0
17,"[20, 26]","[1, 17]",0.0,19.0,0.0
18,"[29, 29]","[23, 12]",0.0,17.0,0.0
19,"[1, 9]","[11, 21]",0.0,12.0,11.0
20,"[2, 20]","[15, 3]",0.0,17.0,-6.0
21,"[10, 8]","[18, 0]",0.0,8.0,-4.0
22,"[27, 0]","[17, 19]",0.0,19.0,11.0
23,"[22, 29]","[2, 15]",0.0,20.0,-4.0
24,"[0, 10]","[10, 2]",0.0,10.0,14.0
25,"[1, 23]","[12, 25]",0.0,11.0,11.0
26,"[27, 14]","[12, 25]",0.0,15.0,2.0
27,"[22, 14]","[8, 27]",0.0,14.0,10.0
28,"[24, 28]","[6, 7]",0.0,21.0,7.0
29,"[18, 10]","[21, 1]",0.0,9.0,-13.0
30,"[7, 28]","[22, 22]",0.0,15.0,10.0
31,"[4, 1]","[12, 23]",0.0,22.0,11.0
32,"[29, 9]","[20, 11]",0.0,9.0,-2.0
33,"[5, 18]","[14, 12]",0.0,9.0,5.0
34,"[28, 28]","[10, 15]",0.0,18.0,-9.0
35,"[19, 4]","[2, 3]",0.0,17.0,-3.0
36,"[14, 5]","[6, 26]",0.0,21.0,13.0
37,"[17, 21]","[6, 6]",0.0,15.0,-12.0
38,"[15, 2]","[14, 15]",0.0,13.0,-9.0
39,"[28, 13]","[16, 5]",0.0,12.0,-5.0
40,"[28, 13]","[10, 7]",0.0,18.0,-13.0
41,"[26, 6]","[5, 0]",0.0,21.0,11.0
42,"[18, 24]","[26, 1]",0.0,23.0,-2.0
43,"[17, 3]","[1, 17]",0.0,16.0,9.0
44,"[21, 9]","[22, 16]",0.0,7.0,-12.0
45,"[15, 5]","[27, 1]",0.0,12.0,17.0
46,"[5, 28]","[6, 28]",0.0,1.0,3.0
47,"[6, 5]","[25, 18]",0.0,19.0,7.0
48,"[24, 14]","[19, 29]",0.0,15.0,2.0
49,"[22, 18]","[27, 20]",0.0,5.0,4.0
